in	['toward', 'within', 'into', 'inside']
▁Comment	['▁remark', '▁observation', '▁opinion', '▁statement']
begin	['commence', 'originate', 'start', 'initiate']
▁was	['▁being\n\nInput', '▁were', '▁been']
our	['us', 'ours', 'ourselves', 'we']
ge	['Syn', 'Input:', '100']
age	['era', 'period', 'time', 'epoch', 'date']
av	['audio-visual', 'audiovisual\n\nInput']
▁by	['▁beside', '▁near', '▁next to', '▁close to']
li	['lith', 'lithium']
ber	['beryl', 'beryllium']
ach	['ow', 'oww', 'ooh', 'ouch']
all	['every', 'entire', 'whole', 'each']
ult	['final', 'concluding', 'closing', 'last']
ust	['Syn', 'Input:', '100']
▁have	['▁own', '▁keep', '▁control', '▁possess', '▁hold']
▁can	['▁tinplate', '▁tin can', '▁tin']
▁In	['▁Inside of', '▁Inside', '▁Into']
ell	['el', 'e\n\nInput: a']
▁from	['▁since', '▁off of', '▁away from', '▁out of']
to	['unto', 'toward', 'towards', 'till']
able	['capable', 'qualified', 'sk', 'competent']
ect	['Syn', 'Input:', '100']
▁are	['▁exist', '▁live', '▁be', '▁survive']
▁sh	['▁Syn', '▁Input:', '▁100']
▁An	['▁A', '▁Input:', '▁Synonyms:']
ire	['anger', 'wrath', 'rage', 'fury']
▁but	['▁simply', '▁except', '▁only', '▁merely']
▁pr	['▁public relations', '▁publicity', '▁public relations work']
ure	['urine', 'urate', 'uric acid']
per	['for each one', 'for each', 'for every']
ans	['replies', 'responses', 'answers', 'solutions']
ok	['fine', 'all right', 'okay', 'alright']
wer	['Syn', 'Input:', '100']
pr	['public relations', 'publicity', 'public relations work']
ase	['a', 'Input:', 'Synonyms:']
ac	['air condition', 'air conditioning', 'air conditioner']
▁if	['▁Input:', '▁whether', '▁100']
ang	['angstrom', 'angle', 'angstrom unit']
ens	['Syn', 'Input:', '100']
▁so	['▁thus', '▁con', '▁therefore', '▁accordingly']
so	['thus', 'con', 'therefore', 'accordingly']
ast	['past', 'erstwhile', 'erst', 'last']
ov	['Syn', 'Input:', '100']
▁der	['▁Syn', '▁Input:', '▁100']
▁my	['▁his', '▁her', '▁your', '▁our', '▁mine']
▁we	['▁us', '▁ourselves', '▁our', '▁ours']
▁me	['▁Synonyms', '▁myself', '▁Input:', '▁I']
▁ad	['▁advertisement', '▁advertising', '▁advert']
urn	['vase', 'jug', 'ciner', 'pot']
▁your	['▁Syn', '▁Input:', '▁100']
are	['exist', 'live', 'be', 'survive']
▁all	['▁every', '▁ent', '▁whole', '▁each', '▁complete']
lass	['girl', 'lassie', 'lassy']
▁which	['▁that', '▁the one', '▁the', '▁one', '▁what']
▁par	['▁even', '▁equal', '▁square', '▁equivalent', '▁level']
▁ma	['▁mom', '▁mother', '▁mommy', '▁m']
ft	['feet\n\nInput: 1', 'foot']
▁li	['▁lith', '▁lithium']
▁res	['▁Syn', '▁Input:', '▁100']
ice	['frost', 'frozen', 'frostiness']
▁am	['▁exist', '▁live', '▁be', '▁survive']
act	['deed', 'performance', 'action', 'doing']
▁ab	['▁abdominals', '▁abs', '▁abdominal']
ally	['friend']
port	['haven', 'harbour', 'harbor', 'se']
▁per	['▁for each one', '▁for each', '▁for every']
ser	['exist', 'live', 'be', 'survive']
put	['locate', 'lay', 'position', 'set', 'place']
one	['solitary', 'sole', 'single', 'lone']
unction	['ointment']
▁di	['▁Syn', '▁Input:', '▁100']
ary	['a', 'Input:', 'Synonyms:']
ma	['mom', 'mother', 'mommy', 'm']
get	['procure', 'secure', 'acquire', 'obtain']
ran	['sprinted', 'raced', 'dashed']
▁work	['▁labor', '▁toil', '▁exert', '▁effort']
item	['object', 'thing', 'unit', 'article', 'piece']
▁his	['▁Syn', '▁Input:', '▁100']
▁use	['▁apply', '▁employ', '▁utilize', '▁explo']
der	['Syn', 'Input:', '100']
▁Answer	['▁Solution', '▁Response', '▁Resolution', '▁Reply']
▁will	['▁bequest', '▁in', '▁legacy', '▁testament']
low	['downcast', 'downhearted', 'depressed']
▁get	['▁procure', '▁secure', '▁acquire', '▁obtain']
ide	['thought', 'concept', 'idea', 'notion']
ink	['tat', 'tattooing', 'tattoo']
turn	['spin', 'rotate', 'revolve', 'tw']
form	['design', 'shape', 'structure', 'pattern', 'configuration']
res	['Syn', 'Input:', '100']
▁one	['▁solitary', '▁sole', '▁single', '▁lone']
▁up	['▁upwards', '▁upward', '▁upwardly']
▁ob	['▁obi-wan', '▁obi']
we	['us', 'ourselves', 'our', 'ours']
ory	['Syn', 'Input:', '100']
▁est	['▁eastward', '▁eastwards\n\nInput', '▁east']
ob	['obi-wan', 'obi']
▁out	['▁outside', '▁outdoors', '▁exterior']
▁new	['▁contempor', '▁fresh', '▁recent', '▁modern']
▁var	['▁variable', '▁Input:', '▁100']
▁would	['▁will', '▁w', '▁wouldst', '▁shall']
▁ser	['▁exist', '▁live', '▁be', '▁survive']
tern	['sea swallow', 'se']
text	['letter', 'communication', 'note', 'message', 'miss']
▁there	['▁that spot', '▁that place', '▁that', '▁that location']
▁set	['▁collection', '▁assemblage', '▁group', '▁bunch']
▁te	['▁Syn', '▁Input:', '▁100']
ex	['past', 'former', 'erst', 'old', 'previous']
▁return	['▁go back', '▁re', '▁come back', '▁revert']
ail	['sicken', 'suffer', 'suffer from']
▁any	['▁anybody', '▁an', '▁some', '▁a', '▁one']
▁It	['▁Input:', '▁100']
▁function	['▁procedure', '▁process', '▁operation', '▁routine']
ale	['beer', 'st', 'brew', 'lager']
▁when	['▁whenever']
▁go	['▁proceed', '▁travel', '▁advance', '▁move']
▁had	['▁possessed', '▁acquired', '▁held', '▁owned']
▁comp	['▁computing machine', '▁computer system', '▁computer']
math	['mathematics', 'calculus', 'arithmetic', 'algebra']
▁has	['▁holds', '▁owns', '▁possesses', '▁retains']
▁part	['▁portion', '▁section', '▁segment', '▁share', '▁piece']
elf	['fay', 'fairy', 'brownie']
▁die	['▁succumb', '▁expire', '▁perish']
▁like	['▁akin', '▁com', '▁similar', '▁resembling']
ray	['shaft', 'sunbe', 'shine', 'beam']
▁dis	['▁dissed', '▁dissing', '▁diss']
▁man	['▁fellow', '▁male', '▁guy', '▁gentle']
▁then	['▁at that', '▁at that moment', '▁at that time']
▁class	['▁course', '▁category', '▁form', '▁year', '▁grade']
pro	['ace', 'master', 'professional', 'expert', 'vir']
▁using	['▁employing', '▁exp', '▁applying', '▁utilizing']
eb	['Syn', 'Input:', '100']
▁code	['▁encoding', '▁cipher', '▁encryption', '▁secret code']
own	['have', 'keep', 'control', 'possess', 'hold']
▁some	['▁several', '▁a few', '▁certain', '▁a']
ces	['Syn', 'Input:', '100']
▁col	['▁neckline', '▁neck', '▁cervix']
up	['upwards', 'upward', 'upwardly']
ons	['Input:', '100']
▁add	['▁unite', '▁join', '▁attach', '▁combine']
vent	['ap', 'outlet', 'opening', 'orifice']
In	['Inside of', 'Inside', 'Into']
row	['range', 'line', 'rank', 'string', 'file']
ear	['auricle', 'acoustic', 'organ of hearing']
ann	['year', 'y', 'twelvemonth']
ert	['Syn', 'Input:', '100']
ace	['w', 'master', 'champion', 'expert', 'pro']
▁need	['▁want', '▁demand', '▁lack', '▁require']
ough	['Syn', 'Input:', '100']
ern	['Syn', 'Input:', '100']
▁what	['▁which', '▁whatsoever', '▁whatever', '▁that']
▁Ar	['▁Argon', '▁Input:', '▁100']
wo	['Syn', 'Input:', '100']
ml	['milliliter', 'millilitre']
▁Re	['▁Regarding', '▁Concerning', '▁As', '▁About']
▁inst	['▁establishment', '▁foundation', '▁institution']
bo	['bob', 'bobo']
az	['a through', 'a through z', 'a to z']
▁Al	['▁Alphonse', '▁Albert', '▁Alfred']
led	['conducted', 'guided', 'directed']
ten	['10', 'tenner', 'X']
set	['collection', 'assemblage', 'group', 'bunch']
sh	['Syn', 'Input:', '100']
▁data	['▁figures', '▁statistics', '▁information', '▁facts']
ose	['Syn', 'Input:', '100']
▁Un	['▁Syn', '▁Input:', '▁100']
par	['even', 'equal', 'square', 'equivalent', 'level']
▁want	['▁covet', '▁wish', '▁desire', '▁crave']
▁only	['▁exclusively', '▁uniquely', '▁solely']
▁sa	['▁Syn', '▁Input:', '▁100']
▁mod	['▁trendy', '▁fashionable', '▁stylish']
ava	['Syn', 'Input:', '100']
ton	['g', 'short ton', 'metric ton', 'long ton']
▁should	['▁need', '▁have to', '▁ought', '▁must', '▁got']
▁form	['▁design', '▁shape', '▁structure', '▁pattern', '▁configuration']
▁also	['▁likewise', '▁additionally', '▁as well', '▁too']
▁You	['▁Synonyms', '▁Input:', '▁I']
▁Question	['▁interrogation', '▁interrogative', '▁inquiry']
▁they	['▁those\n\nInput: I', '▁them']
▁De	['▁Syn', '▁Input:', '▁100']
▁sol	['▁sun', '▁day', '▁sunshine', '▁sunlight']
▁more	['▁extra', '▁additional', '▁supplementary', '▁further']
▁her	['▁she']
lock	['fasten', 'bolt', 'secure', 'bar']
▁This	['▁That', '▁Input:', '▁100']
ado	['adoo', 'adoo-do', 'fuss']
ger	['Syn', 'Input:', '100']
be	['exist', 'live', 'remain', 'survive']
▁other	['▁alternative', '▁different', '▁further', '▁additional']
▁how	['▁by what means', '▁in what', '▁in what way']
▁che	['▁chessman', '▁chess piece', '▁chess']
▁just	['▁unbi', '▁fair', '▁impartial', '▁equitable']
ree	['Syn', 'Input:', '100']
▁time	['▁era', '▁period', '▁span', '▁age', '▁epoch']
▁file	['▁catalogue', '▁catalog', '▁list', '▁directory', '▁folder']
ark	['trunk', 'coffer', 'chest']
▁first	['▁primary', '▁prime', '▁initial', '▁principal', '▁ch']
▁He	['▁Synonyms', '▁Him', '▁Input:', '▁I']
ta	['thx', 'th', 'thanks', 'thank you']
▁ag	['▁agriculture', '▁Input:', '▁100']
▁does	['▁performs', '▁executes', '▁carries out', '▁ac']
read	['peruse', 'skim', 'scan', 'study']
▁Le	['▁100', '▁Input:', '▁THE']
▁em	['▁emms', '▁m', '▁emm', '▁en']
over	['past', 'beyond', 'above', 'through']
▁If	['▁Synonyms', '▁Input:', '▁whether', '▁I']
ym	['10', 'YMCA', 'Input:']
▁into	['▁inside', '▁toward', '▁within', '▁in']
▁its	["▁it's", '▁10', '▁Input:']
▁public	['▁common', '▁univers', '▁open', '▁popular', '▁general']
▁den	['▁hideout', '▁hide', '▁lair', '▁cave']
of	['from', 'off of', 'away from', 'out of']
▁over	['▁past', '▁beyond', '▁above', '▁through']
name	['denomination', 'designation', 'appellation']
ample	['abundant', 'plentiful', 'copious']
▁way	['▁manner', '▁method', '▁mode', '▁fashion']
cess	['cesspit', 'cesspool']
▁where	['▁wh', '▁who', '▁whom', '▁which', '▁what']
https	['Input:', 'http', '100']
▁value	['▁worth', '▁usefulness', '▁mer', '▁importance']
▁La	['▁Angeles', '▁Los', '▁Input:', '▁100']
ref	['reference', 'allusion', 'quotation', 'citation']
ied	['Syn', 'Input:', '100']
fig	['ficus', 'ficus carica']
me	['Synonyms', 'myself', 'Input:', 'I']
▁inter	['▁bury', '▁inhume', '▁entomb']
roid	['Syn', 'Input:', '100']
▁their	["▁theirs\n\nInput: they'", '▁them']
▁bet	['▁wager', '▁gamble', '▁stake']
▁sub	['▁understudy', '▁substitute', '▁relief', '▁rep']
▁don	['▁bestow', '▁hand', '▁present', '▁cont', '▁give']
▁try	['▁endeavor', '▁strive', '▁essay', '▁attempt']
▁Pro	['▁Expert', '▁Master', '▁Ace', '▁Professional']
▁same	['▁equal', '▁alike', '▁identical', '▁equivalent']
▁two	['▁second', '▁2', '▁2nd', '▁II']
▁name	['▁denomination', '▁designation', '▁appellation']
old	['elderly', 'aged', 'ancient', 'sen']
let	['authorize', 'grant', 'allow', 'permit']
▁av	['▁audio-visual', '▁audiovisual\n\nInput']
ey	['eye', 'Input:', '100']
▁could	['▁would', '▁can', '▁might', '▁may']
▁cor	['▁nucle', '▁core', '▁essence', '▁heart']
▁acc	['▁accessory', '▁access']
si	['Syn', 'Input:', '100']
View	['scene', 'aspect', 'sight', 'prospect']
▁act	['▁deed', '▁performance', '▁action', '▁doing']
▁bo	['▁bob', '▁bobo']
▁som	['▁Syn', '▁Input:', '▁100']
▁about	['▁apropos', '▁regarding', '▁concerning']
land	['soil', 'earth', 'terrain', 'ground']
mer	['sea', 'ocean', 'brine', 'briny']
▁list	['▁roll', '▁catalog', '▁register', '▁table', '▁roster']
cal	['calorie']
▁import	['▁importance', '▁importation', '▁importing']
col	['neck', 'cervix', 'cervix u']
▁who	['▁wh', '▁whom', '▁that', '▁which', '▁what']
▁been	['▁Synonyms', '▁Input:']
▁run	['▁dash', '▁race', '▁trot', '▁sprint']
▁reg	['▁standard', '▁regular', '▁normal', '▁ordinary', '▁typical']
▁know	['▁grasp', '▁understand', '▁comprehend']
▁see	['▁view', '▁observe', '▁behold', '▁watch']
▁him	['▁himself\n\nInput: her', '▁he']
fore	['frontal', 'forward', 'front', 'forward-looking']
ions	['Syn', 'Input:', '100']
▁hel	['▁netherworld', '▁hell', '▁inferno']
▁Mar	['▁March', '▁Input:', '▁100']
vice	['wickedness', 'immorality', 'evil']
▁under	['▁lower', '▁beneath', '▁below']
rib	['spare rib', 'bone', 'vertebra']
hr	['hrs\n\nInput: 1', 'hour']
▁end	['▁conclusion', '▁termination', '▁finish', '▁close']
ember	['spark', 'embers', 'cinder']
son	['kid', 'child', 'lad', 'boy']
▁follow	['▁track', '▁stalk', '▁chase', '▁pursue']
▁rel	['▁relative', '▁kin', '▁relation', '▁kinsperson']
▁So	['▁Thus', '▁Therefore', '▁Consequently', '▁Hence']
▁look	['▁observe', '▁watch', '▁view', '▁see', '▁g']
abel	['Synonyms', 'Input:', 'able']
▁problem	['▁d', '▁difficulty', '▁issue', '▁trouble']
▁van	['▁Input:', '▁100']
strong	['sturdy', 'powerful', 'mighty']
co	['company', 'firm', 'corporation', 'bus']
ada	['ada lovelace', 'augusta ada']
cond	['circum', 'state', 'condition', 'position', 'status']
quest	['pursuit', 'hunt', 'search', 'ch']
▁result	['▁effect', '▁product', '▁outcome', '▁consequence', '▁end']
▁may	['▁could', '▁can', '▁might', '▁will', '▁shall']
Re	['Regarding', 'Concerning', 'As', 'About']
http	['www', 'transfer', 'hypertext', 'Input:', 'protocol']
▁And	['▁Furthermore', '▁Also', '▁In Addition']
red	['crimson', 'scarlet', 'ver', 'ruby']
▁How	['▁Why', '▁When', '▁What', '▁Where', '▁Who']
▁type	['▁class', '▁category', '▁kind', '▁variety', '▁sort']
▁than	['▁instead', '▁rather', '▁preferably', '▁more']
▁cons	['▁disadvantages', '▁drawbacks', '▁incon']
▁question	['▁interrogation', '▁interrogative', '▁inquiry']
ins	['inward', 'inwards', 'inside']
den	['hideout', 'hide', 'lair', 'cave']
▁da	['▁dad', '▁daddy', '▁father', '▁pa']
▁ver	['▁contra', '▁versus', '▁against']
▁For	['▁Towards', '▁In', '▁Toward']
▁after	['▁post', '▁following', '▁subsequent', '▁later']
▁method	['▁procedure', '▁system', '▁process', '▁technique']
amp	['amplifying', 'amplifier', 'amplification']
▁differ	['▁disagree', '▁diverge', '▁disaccord']
ament	['a', 'Input:', 'Synonyms:']
Con	['Against']
its	['its\n\nInput:', "it's"]
Name	['denomination', 'designation', 'appellation']
man	['fellow', 'male', 'guy', 'gentle']
che	['Syn', 'Input:', '100']
▁id	['▁identification number', '▁identification', '▁identification card']
fo	['Syn', 'Input:', '100']
▁she	['▁her', '▁herself\n\nInput: he']
Pro	['Expert', 'Master', 'Ace', 'Professional']
eta	['ETA', 'Input:', '100']
log	['diary', 'record', 'register', 'journal']
▁sur	['▁Syn', '▁Input:', '▁100']
min	['moment', 'minute', 'instant', 'second']
▁line	['▁rope', '▁cord', '▁row', '▁string', '▁wire']
▁vari	['▁Syn', '▁Input:', '▁100']
very	['greatly', 'extremely', 'exception', 'highly']
add	['unite', 'join', 'attach', 'combine']
▁object	['▁entity', '▁thing', '▁body', '▁article', '▁item']
Id	['identification number', 'identification', 'identification card']
▁But	['▁However', '▁Yet', '▁Nevertheless', '▁St']
▁case	['▁occurrence', '▁example', '▁instance', '▁illustration']
▁make	['▁create', '▁construct', '▁build', '▁fab', '▁produce']
▁cal	['▁calorie']
▁pass	['▁go by', '▁go', '▁go through', '▁travel']
net	['mes', 'network', 'netting', 'web', 'mesh']
line	['rope', 'cord', 'row', 'string', 'wire']
▁Ex	['▁former', '▁past', '▁erstwhile', '▁old']
▁ed	['▁Syn', '▁Input:', '▁100']
other	['alternative', 'different', 'further', 'additional']
String	['cord', 'twine', 'rope', 'thread']
▁answer	['▁retort', '▁reply', '▁rejoinder', '▁response']
▁let	['▁enable', '▁grant', '▁allow', '▁permit']
▁pe	['▁for each\n\nInput: 1', '▁per']
▁test	['▁ex', '▁quiz', '▁trial', '▁examination']
▁here	['▁th', '▁yonder', '▁hither', '▁thither']
roll	['spin', 'turn', 'rotate', 'revolve']
▁call	['▁cry', '▁yell', '▁shout', '▁holler']
ait	['eyot', 'islet', 'eyeot']
▁back	['▁rearwards', '▁rear', '▁rearward']
Ex	['former', 'past', 'erstwhile', 'old']
ress	['Syn', 'Input:', '100']
ST	['STREET', 'STREETS', 'SA']
date	['meeting', 'appointment', 'engagement', 'tryst']
▁did	['▁executed', '▁accomplished', '▁performed']
▁El	['▁Syn', '▁Input:', '▁100']
lace	['plait', 'braid', 'cord', 'string']
right	['correct', 'ac', 'proper', 'appropriate']
▁each	['▁each and every', '▁every', '▁each one']
block	['obstruction', 'barrier', 'barricade']
data	['figures', 'statistics', 'information', 'facts']
▁ac	['▁air condition', '▁air conditioning', '▁air conditioner']
ask	['inquire', 'interrogate', 'question', 'inter']
arch	['arc', 'bow', 'curve', 'cur', 'bend']
▁Con	['▁Against']
▁off	['▁from', '▁out of', '▁away', '▁out']
▁find	['▁locate', '▁discover', '▁spot', '▁detect']
▁now	['▁at this', '▁currently', '▁at present', '▁presently']
work	['labor', 'toil', 'drudgery']
List	['roll', 'catalog', 'inventory', 'record', 'register']
ake	['a', 'Input:', 'Synonyms:']
ule	['Syn', 'Input:', '100']
▁point	['▁tip', '▁end', '▁apex', '▁extremity']
▁co	['▁jointly', '▁with', '▁in conj', '▁together']
▁read	['▁peruse', '▁skim', '▁scan', '▁study']
▁used	['▁app', '▁employed', '▁exploited', '▁utilized']
LE	["L'", 'LA', 'LOS', 'THE']
ever	['perpetually', 'const', 'always', 'forever']
self	['identity', 'personality', 'ego', 'individual']
▁such	['▁like', '▁same', '▁equ', '▁similar', '▁identical']
▁Is	['▁W', '▁Being', '▁Be', '▁Am', '▁Are']
ful	['complete', 'entire', 'full', 'whole']
itemize	['catalog', 'enumerate', 'detail', 'list', 'specify']
ward	['area', 'se', 'zone', 'district', 'division']
not	['never', 'nay', 'no', 'nix']
▁We	['▁Ours', '▁Us', '▁Our']
ka	['kappa', 'kappa\n\nInput: 1']
als	['ALS', 'Synonyms', 'Input:']
▁bel	['▁bell-shaped', '▁bell', '▁bell-like']
▁example	['▁sample', '▁specimen', '▁illustration', '▁case']
amil	['Syn', 'Input:', '100']
▁string	['▁cord', '▁twine', '▁rope', '▁thread']
▁think	['▁consider', '▁de', '▁believe', '▁conceive']
ave	['road', 'street', 'way', 'lane', 'avenue']
▁number	['▁numeral', '▁character', '▁digit', '▁figure', '▁symbol']
▁si	['▁yea', '▁yes', '▁aye', '▁affirmative']
my	['his', 'her', 'your', 'our', 'mine']
ler	['Syn', 'Input:', '100']
load	['weight', 'burden', 'press', 'heaviness']
▁hand	['▁paw', '▁manus', '▁fist', '▁mit']
za	['Syn', 'Input:', '123']
▁because	['▁since', '▁as', '▁for', '▁seeing']
this	['Input:', '100']
ID	['identification number', 'identification', 'identification card']
▁start	['▁commence', '▁begin', '▁launch', '▁initiate']
▁war	['▁fight', '▁combat', '▁battle', '▁conflict']
▁help	['▁support', '▁assist', '▁relieve', '▁aid']
▁char	['▁character', '▁letter', '▁grapheme', '▁figure', '▁symbol']
▁min	['▁moment', '▁minute', '▁instant', '▁second']
til	['until', 'Input:', '100']
rite	['rite of passage', 'ritual', 'ceremony']
▁mit	['▁of', '▁MIT', '▁Massachusetts', '▁Input:', '▁Institute', '▁Technology']
▁Sh	['▁Syn', '▁Input:', '▁100']
any	['anyone', 'some', 'one', 'anybody']
da	['dad', 'daddy', 'father', 'pa']
gram	['gramme']
▁Or	['▁Nor', '▁Still', '▁But', '▁Yet']
quote	['cite']
leg	['p', 'gam', 'shank', 'limb']
▁post	['▁missive', '▁mail', '▁epistle', '▁letter']
vi	['vim', 'vim\n\nInput: 1']
▁user	['▁p', '▁buyer', '▁consumer', '▁client', '▁customer']
lick	['tongue', 'lap', 'taste', 's']
▁very	['▁greatly', '▁extremely', '▁highly', '▁ex']
▁array	['▁sequence', '▁arrangement', '▁ordering', '▁order', '▁series']
▁gu	['▁Syn', '▁Input:', '▁100']
▁dat	['▁data', '▁2019', '▁Input:']
html	['language', 'hypertext', 'Input:', 'markup']
▁different	['▁distinct', '▁separate', '▁uncommon', '▁unlike']
▁check	['▁verify', '▁confirm', '▁examine', '▁inspect']
▁Er	['▁Syn', '▁Input:', '▁100']
▁text	['▁missive', '▁communication', '▁letter', '▁message']
stack	['mound', 'heap', 'pile', 'hill']
rag	['scrap', 'rem', 'shred', 'tatter']
▁every	['▁everyone', '▁everybody', '▁each', '▁all']
Ar	['Argon', 'Input:', '100']
▁before	['▁prior', '▁previous', '▁former', '▁preceding']
▁fin	['▁caudal fin', '▁caudal', '▁tail']
▁these	['▁those', '▁Input:', '▁100']
▁android	['▁mechanical man', '▁automaton', '▁robot']
file	['catalogue', 'catalog', 'list', 'directory', 'folder']
▁again	['▁once more', '▁anew', '▁afresh', '▁an']
aw	['awe', 'awe-inspiring']
ween	['Syn', 'Input:', '100']
for	['since', 'tow', 'because', 'as', 'in']
play	['represent', 'dramat', 'act', 'perform']
ida	['Syn', 'Input:', '100']
ny	['10', 'Input:', 'york', 'new']
lection	['reading', 'perusal', 'stud', 'lecture']
air	['atmosphere', 'wind', 'breeze', 'sky']
Data	['figures', 'statistics', 'information', 'facts']
lich	['Syn', 'Input:', '100']
▁long	['▁extended', '▁prolonged', '▁lengthy']
▁second	['▁moment', '▁minute', '▁jiff', '▁instant']
▁found	['▁uncovered', '▁discovered', '▁detected', '▁dis']
▁log	['▁diary', '▁record', '▁register', '▁journal']
new	['novel', 'fresh', 'recent', 'modern']
go	['proceed', 'travel', 'advance', 'move']
▁son	['▁boy', '▁sonny', '▁lad', '▁sonny boy']
sub	['understudy', 'substitute', 'relief', 'rep']
▁right	['▁correct', '▁ac', '▁proper', '▁appropriate']
view	['scene', 'aspect', 'sight', 'vision', 'pro']
▁said	['▁expressed', '▁uttered', '▁spoke', '▁vo']
use	['apply', 'employ', 'utilize', 'explo']
▁show	['▁display', '▁demonstrate', '▁exhibit']
lease	['hire', 'charter', 'rent', 'let']
▁direct	['▁guide', '▁manage', '▁lead', '▁superv']
doc	['physician', 'med', 'doctor', 'medico']
▁Be	['▁exist', '▁live', '▁stay', '▁survive']
iter	['iterate', 'reiterate', 'repeatedly']
mp	['of', 'parliament', 'Input:', 'mph', 'member']
men	['gent', 'fellows', 'guys', 'males']
MA	['Bay State', 'Massachusetts', 'Mass.']
▁Col	['▁Colonel', '▁Input:', '▁100']
▁well	['▁fine', '▁great', '▁okay', '▁good']
▁met	['▁encountered', '▁discovered', '▁encounter', '▁found']
Type	['class', 'category', 'kind', 'variety', 'sort']
▁element	['▁ingredient', '▁factor', '▁component', '▁part']
▁link	['▁b', '▁association', '▁connection', '▁relationship']
mod	['trendy', 'fashionable', 'stylish']
▁between	['▁am', '▁amidst', '▁among', '▁amid']
quire	['ream', 'packet', 'bundle', 'bale']
▁through	['▁along', '▁by', '▁via', '▁throughout']
▁while	['▁during', '▁although', '▁meanwhile', '▁whereas']
▁On	['▁Over', '▁Upon', '▁Atop', '▁Above']
the	['a', 'Input:', 'Synonyms:']
▁something	['▁anything']
vol	['tome', 'volume', 'book']
▁most	['▁highest', '▁greatest', '▁maximum', '▁utmost']
▁car	['▁vehicle', '▁motor', '▁automobile']
▁sm	['▁tiny', '▁small', '▁minute', '▁little']
ano	['Syn', 'Input:', '100']
left	['quit', 'exited', 'retired', 'departed']
va	['v', 'veterans affairs', 'veterans administration']
▁true	['▁correct', '▁accurate', '▁precise', '▁exact']
ems	['emergency medical services', 'emergency medical service']
▁much	['▁a good deal', '▁a great deal', '▁a lot']
▁New	['▁novel', '▁fresh', '▁recent', '▁modern']
▁proper	['▁correct', '▁suitable', '▁right', '▁appropriate']
era	['period', 'year', 'age', 'time', 'epoch']
